"Accident_ID","النوع","التاريخ","السرعة","ع.اصابات بسيطة","ع.اصابات بليغة","ع.اصابات الوفاه","ع.اصابات متوسطة","مسارب الطريق","سطح الطريق","جنسية المركبة","فئه الرخصه","نوع الطريق","الاضائة","الطقس","خصائص طريق","خطأ السائق","محافظه","فئة المركبة","تاريخ الحادث","عدد المركبات","عمرالسائق","جنس السائق"
"1523897","صدم","2/1/2017 17:31","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/1/2017 17:31","2","33","ذكر"
"1523897","صدم","2/1/2017 17:31","40","0","0","0","0","اتجاهين غير مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","عدم ترك السائق مسافة التتابع الامن","محافظة العاصمة عمان","سيارة ركوب صغيرة","2/1/2017 17:31","2","",""
"1525376","صدم","6/1/2017 14:30","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","6/1/2017 14:30","2","23","ذكر"
"1525376","صدم","6/1/2017 14:30","40","0","0","0","0","اتجاه واحد","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","6/1/2017 14:30","2","34","ذكر"
"1526309","صدم","11/1/2017 6:57","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","11/1/2017 6:57","2","35","انثى"
"1526309","صدم","11/1/2017 6:57","40","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","قيادة المركبة دون اخذ احتياطات السلامة المرورية اللازمة","محافظة العاصمة عمان","سيارة ركوب صغيرة","11/1/2017 6:57","2","117","ذكر"
"1526329","صدم","8/1/2017 22:03","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","8/1/2017 22:03","2","32","ذكر"
"1526329","صدم","8/1/2017 22:03","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ليل وطريق بإضاءة كافية","صافي","مستقيم مستوي","عدم ترك السائق مسافة التتابع الامن","محافظة العاصمة عمان","سيارة ركوب صغيرة","8/1/2017 22:03","2","22","ذكر"
"1526672","صدم","9/1/2017 16:58","30","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ظلام","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","9/1/2017 16:58","2","38","ذكر"
"1526672","صدم","9/1/2017 16:58","30","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","ظلام","صافي","مستقيم مستوي","عدم ترك السائق مسافة التتابع الامن","محافظة العاصمة عمان","سيارة ركوب صغيرة","9/1/2017 16:58","2","33","ذكر"
"1526999","صدم","10/1/2017 14:53","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","نهار","صافي","مستقيم مستوي","مخالفات قواعد واولويات المرور","محافظة العاصمة عمان","سيارة ركوب صغيرة","10/1/2017 14:53","2","37","ذكر"
"1526999","صدم","10/1/2017 14:53","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة اتوماتيك","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","10/1/2017 14:53","2","32","انثى"
"1527048","صدم","10/1/2017 16:22","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة ثالثة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","10/1/2017 16:22","3","36","ذكر"
"1527048","صدم","10/1/2017 16:22","60","0","0","0","0","اتجاهين مفصول بجزيرة وسطية","جاف","الأردن","فئة رابعة","إسفلتي","نهار","صافي","مستقيم مستوي","لا يوجد","محافظة العاصمة عمان","سيارة ركوب صغيرة","10/1/2017 16:22","3","38","ذكر"
