Accident_ID,Type,Date,the speed,A. Minor injuries,A. Serious injuries,p. death injuries,A. Medium injuries,lanes of the road,road surface,Vehicle Nationality,category of licenses,road type,the lighting,the weather,Road properties,driver error,Conservative,Vehicle class,accident date,number of vehicles,age of the driver,Driver's gender
1523897,shocked,2/1/2017 17:31,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,2/1/2017 17:31,2,33.0,Male
1523897,shocked,2/1/2017 17:31,40,0,0,0,0,Two directions not separated by a central island,dry,Jordan,third class automatic,asphalt,Night and road with enough light,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,2/1/2017 17:31,2,,in
1525376,shocked,6/1/2017 14:30,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,6/1/2017 14:30,2,23.0,Male
1525376,shocked,6/1/2017 14:30,40,0,0,0,0,One-way,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,6/1/2017 14:30,2,34.0,Male
1526309,shocked,11/1/2017 6:57,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,11/1/2017 6:57,2,35.0,feminine
1526309,shocked,11/1/2017 6:57,40,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,11/1/2017 6:57,2,117.0,Male
1526329,shocked,8/1/2017 22:03,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,Night and road with enough light,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,8/1/2017 22:03,2,32.0,Male
1526329,shocked,8/1/2017 22:03,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,8/1/2017 22:03,2,22.0,Male
1526672,shocked,9/1/2017 16:58,30,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,darkness,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,9/1/2017 16:58,2,38.0,Male
1526672,shocked,9/1/2017 16:58,30,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,darkness,Clear,flat straight,The driver should not leave the safe relay distance,Capital Governorate Amman,mini ride on car,9/1/2017 16:58,2,33.0,Male
1526999,shocked,10/1/2017 14:53,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,Violations of traffic rules and priorities,Capital Governorate Amman,mini ride on car,10/1/2017 14:53,2,37.0,Male
1526999,shocked,10/1/2017 14:53,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class automatic,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,10/1/2017 14:53,2,32.0,feminine
1527048,shocked,10/1/2017 16:22,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,10/1/2017 16:22,3,36.0,Male
1527048,shocked,10/1/2017 16:22,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,fourth class,asphalt,day,Clear,flat straight,There is no,Capital Governorate Amman,mini ride on car,10/1/2017 16:22,3,38.0,Male
1527048,shocked,10/1/2017 16:22,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,Sixth class (A),asphalt,day,Clear,flat straight,Driving a vehicle without taking the necessary traffic safety precautions,Capital Governorate Amman,mini ride on car,10/1/2017 16:22,3,41.0,Male
1527180,shocked,10/1/2017 20:57,60,0,0,0,0,Two-way separated by a central island,dry,Jordan,third class,asphalt,Night and road with enough light,Clear,flat straight,Suddenly changed leak,Capital Governorate Amman,mini ride on car,10/1/2017 20:57,2,26.0,Male
